Comment Head	Comment Body	Comment Rating
 Very Nice Performances, Clumsy Script.	"Nicholas Cage is a professional surveillance guy, rather like Gene Hackman in ""Conversation"". He has a loving wife, Keener, and a cute kiddy. He's hired in one of those ""spare no expense"" deals to find out who is behind a real snuff film that an elderly widow just found in her long-dead, filthy rich husband's private safe.We see at once that Cage is a nice, middle-class guy, who cares about people's feelings, and he's going to do the best job as a private investigator that he can.So he takes a good hard look at the snuff film. There are three men involved on the scratchy old print. One of them, wearing a black mask and Goth gear, butchers a pretty young sixteen-year-old girl. The director doesn't show us the slaughter, thank God, but we see Cage's repulsion, slightly overdone.He hasn't much to go on. The film is six years old and nobody is identifiable. But like any good PI he visits porno store after porno store until he finds a guide, Phoenix, working behind the counter, a kind of Cumaean Sibyl who guides him into the underworld of smoky caverns where men and younger girls do things that men and younger girls are not supposed to do.And here the story, written by Andrew Kevin Walker, begins to wobble. All the dens of iniquity look pretty much alike, although they're supposed to be sequentially a deeper peek into perversion. The voyage that follows is accompanied by a very loud Hindi chant full of tablas and wailing, inappropriate and unconscionable. The tale continues as Cage and Phoenix track down the three culprits, who turn out to be Stormare (great in ""Fargo""), Gandolfini, and the butcher in the mask, a nobody and something of a Mamma's boy despite his flabby heft.Two thirds of the way through, the film collapses in on itself, piece by piece, with little in the way of redeeming value. I'll give an example of a redeeming incident though. It's a piece of dialog. Peter Stormare, the snuff film's director and photographer, has just been shot through the neck and is doing his dying swan fall to the floor. ""Not this way, not this way,"" he mutters to himself. ""It should be something more CINEMATIC."" It's not only the funniest line in the film; it's the ONLY funny line.I'll give one example of how to turn a story that begins with some promise into a commercial piece of mindless garbage. A lot of film time is lavished on Catherine Keener as Cage's wife, although they're not often seen together on the screen. However, they're constantly calling one another, each time signing off with, ""I love you"", followed by the other's ""I love you."" I figured, okay, Keener -- with that aquiline nose and those alarming zygomatic arches -- is a splendid actress. She really is. So she's going to be kidnapped, along with their baby, right? Wrong. She's never in jeopardy. So why is she so prominently featured. So that after all that lovey-dovey stuff she can torment the already abused Cage by taking the tot and leaving him. (Not to worry, she returns at the end, with no realistic excuse either for leaving in the first place or for returning.) And here's how she tells Cage she's leaving. The poor guy has just had the hell kicked and beaten out of him. He manages to stumble all bloody into his home and Keener begins shrieking at him -- ""Look at yourself!"" and ""How do you think I FEEL not knowing where you are?"" It's a typical conflict between cop and wife. (Cf., for instance, ""Heat."") But there has been absolutely no hint of the magnitude, or even the existence, of her dissatisfaction before. It comes out of nowhere except the writer's desire to add still more dramatic fluff to a movie about an already sordid subject.I was pretty disgusted by this point. The climax is the usual mud wrestling in a cemetery. When two men fight and one is armed, the gun or knife is generally knocked from the hand and there is an obligatory shot of the weapon skittering along the floor. In this movie -- FOUR TIMES. We're no longer in the realm of imagination but of a ritual shot that is almost religious in its invariability.And yet, despite the terrible let-down, those performances can't be easily dismissed. Not a clinker in the bunch. They sparkle among the rain-drenched, littered, dark streets of the ugly part of New York, the leafless barren hills of Appalachia, and the gloomy cellars of Los Angeles.Want a name of a particularly appealing actress? The dead girl's mother, living alone in a wretched shack somewhere in rural Pennsylvania or West Virginia, dying to get Cage to sit down and join her for dinner or at least a drink. Not for sex but to relieve for a few minutes the social vacuum she seems locked into. Her name is Amy Morton. And her part may be the best-written in the film."	6
 Effective music	"There isn't much to say about the film - its supposed to be a descent into hell, but Cage is a pretty boy non-actor and the director couldn't be bothered with fixing the bits that don't quite work. The result is a flawed melodrama that can call itself dark on the posters.The music however is worth talking about. The strange Peruvian(?) melodies that go with views of LA porn are nicely disconcerting. Also good use of silence marks the domestic scenes out from the rest of the investigation.And the masked killer playing Aphex Twins ""Come to Daddy"" on vinyl shows that someone did at least have a genuinely good ear for Freudian depth."	
 Schumacher tries to be Fincher ... and fails	"I can't really say that I liked ""Se7en"" (although I think it's a good movie) - but at least it stayed in my head for a long time and Andrew Kevin Walker's script is surely one of the reasons for that. But this will not happen for ""8MM"" - and this is probably due to Schumacher's way of putting a promising idea on screen. Many people that submitted a comment on this movie found it ""disturbing"", ""dark"", ""sick"" - I think it was mainly a standard Hollywood thriller with a slightly off-Hollywood subject. Just the fact that the movie deals with underground pornography and snuff films doesn't make it disturbing - a better insight into the characters and their demons would have. Cage's transformation from loving family man to angry avenger is quite unmotivated and many scenes are just soo typical Hollywood thriller-like. I would've liked to see a believable descent down into the personal hell of the main character; ""Se7en"" did that; in a way Friedkin's ""Cruising"" did that; ""8MM"" didn't. Next time I will need more than one good reason (like a script by Walker) to watch a Joel Schumacher movie."	4
 Vile.		1
 Not recommended!	"I give this movie 10/10 because I think this movie has a real story to it, it feels all too real and it makes you sick while watching it. I can't say I would recommend this movie to anyone to see, but it is a movie people should see not because it's such a great movie, well it is, but because it's about real people and a story that could happen. I do how ever hope that people never do anything like this because I want to believe in peoples goodness. The acting is great if not even awesome, the story is ""too real"" and I can see the Joel Schumacher in this film as well as others, he is one of my favorite filmmakers through the time because of movies like this one. Even if I do not want to recommend this movie it is one of the best movies I ever saw."	10
 Tremendously dark, perfectly made.	"""8 mm"" is one of those movies that you won't easily forget because of it's violent, dark nature of it's content and because it makes you think if it's possible that these kind of events happen in real life.Please do not think about this movie as the typical cop/detective flick with violent tones. ""8 mm"" is more than that; it's a moving experience in all the negative sense of the word. Let me explain myself...The events of this movie will make you feel angst, anger, and even fear due to the nastiness of the mafia surrounding the main plot.The Director digs on the snuff film plot but the main focus on the movie is all about the mafias that control a not very well known market of violence and torture.Also, ""8 mm"" succeeds on the Criminology aspects because it has to do with private investigation, judicial searching, and black markets. The ending has a great impact on the audience because it's filled with violence, sadness, and pity. You get to understand the nature of the evil of the villains.Please give this movie a chance and you won't regret; it's truly one of the most dark but powerful movies of the past twenty years. Seriously underrated. Be sure to get this feature that perfectly mixes action, thriller, and even horror.Special mention for Joaquin Phoenix for his portray as Max California. An impressive performance."	9
 A good movie in some ways, a bad one in others.		6
 A humorous but heartfelt review		6
 What Could Have Been		
 Very good but disturbing film	This movie made me very uncomfortable, and the idea of these things really happening scared me. The movie (by which I mean the first hour or so, because I haven't seen the rest) was very tense and very graphic (which caused me to zap away more than once, take a deep breath, than zap back again) The point is that I still RETURNED to watching this movie, because it had me sitting on the edge of my chair the whole time. A must-see if you have a strong stomach and good nerves. Don't watch this if you are not good with violence (like 13-year-old me) or find the many nauseating sexual scenes disturbing (me again). I give this movie 3/5.	
 I wish someone had warned me....		3
 Slick and empty	"Approximately 9 1/2 hours into this excruciatingly pointless film, I found myself wondering if there was a reason behind this movie other than to be another ready-made ""disturbing"" box-office hit.  And sadly, I found no reasons.The trend of each new Hollywood thriller attempting to be more grotesque than the previous one is getting more depressing by the minute.  In true pandering fashion, the filmmakers use ""The Silence of the Lambs"" as their model and attempt to copy everything except the things that are beyond their grasp -- coherent story, pointed dialogue, symbolism.  This is not a surprise from either the director (""Batman and Robin"" anyone?) or the writer (""Seven"", another cog in the wheel of this particular trend).  Nor, unfortunately, is it a surprise for this film's talented and engaging leading man.If you think too much about this film, it becomes laughable almost instantly.  If you put your brain on hold and attempt to enjoy it that way, you'll simply be bored.  To make matters worse, the film ends in a dramatically valid way...then meanders on for a particularly ridiculous and unfounded 20 minutes more!          POSSIBLE SPOILER!!!!!!!!!!!!!!!!!!!!!!If you must watch, note how Nicolas Cage's character undergoes a rather hilarious shift from the nicest man in the universe to a raging dispenser of vigilante justice in the final quarter of the film.  I was left wondering whether this was a result of his exposure to underground pornography or his desire to dispense with all of these cardboard characters!Overall, yet another attempt to dress up sickening subject matter in a glossy, nicely wrapped package with nothing inside of it except the filmmakers' desire to make some quick cash."	3
 A VERY DISTURBING FILM, BEWARE!	This movie should be rated NC-17. I watched this with my mom thinking it would be one of the many great movies with the talented Nicolas Cage in it. I thought it was only about a murder case. Little did I know, it was very graphic and disturbing. It is highly NOT recommended for people under 18 at all. I am between 13 and 15 and I absolutely hated it. It was very very disturbing for me. I woke up at 3am in the morning with scenes from the movie still running through my head. This movie was rather confusing to me. I didn't really understand certain parts of it. It was also somewhat tiring. I give the rating of 3 because of the disturbance in my sleep and the pervertiveness.	3
 Almost EXCELLENT but...	"I wouldn't normally waste my time reviewing a film that has been reviewed so many times and had everything that can be said about it, said about it. However after reading through many of the reviews here it seems that not one person has mentioned the points I would like to make.First of all, this film really divides the audience primarily into two camps - those that can stomach the subject matter and those that cannot. Then within each of those camps you have those that thought the acting/script/production etc good and those that didn't. Some mention flaws in some scenes, such as Cage all too easily finding the girl's identity (big deal, in real life he either wouldn't have been able to find her at all - in which case the film would have ended there or it would have taken him months to years - in which case the film would have been a bit too long!) and guns not picked up from the correct side of the bed etc. (again, big deal, one could pick apart pretty much any thriller ever made if one really desires to). However, if one can stomach the subject matter and overlook these minor flaws, then what you have here is a sordid and gripping thriller (particularly the first half), apart from two MAJOR flaws.Both flaws are actually one and the same, although one happens half way through and one at the very end. I refer to the ridiculous and uneccessary explanations given for i) the motive of the film being requested (""because he can"") and ii) the motive of the killer (""because I like it""). First of all, these are such weak and shallow explanations but worse is the contrived and false way that the lines are delivered, almost as if they were added to the script last minute as an afterthought. Much better it would have been if either they were not given at all (leaving the audience to ponder ""why?""), or a more indepth, more honest and deeper explanation given.Aside from this, I think it's a well-made, atmospheric and gripping thriller, however the flaws I mention are extremely detrimental to the overall feel of the film, to the point of belittling itself and thus severely reducing it's impact... a real shame."	7
 Peep This Reviews	Nicholas Cage is very inconsistent and quirky as an actor. Joel Schumacher is extremely hit or miss when it comes to directors. So this is an experiment with the two that works very well as one of the darkest films from a major company I can think of. Fascinating story (although disowned by it's writer) that delves into the dark underbelly of society and disturbing curiosities. Great supporting cast too.	7
" Bondage, rape films and ""sick"" fetish just don't compare with this."	Spoiler The movie is great! Running through the movie, you pickup a regular story line like any normal arthouse film... but at the dramatic conclusion, it is possible to realise a message.Yes the film is a based on the grim reality of Snuff films, and that one was made for a rich man... but the movie had a whole new front to it, kept in the backround, and not exposed until the end.When a girl is killed on camera for fetish sexual enjoyment by a man who called himself machine and wheres a bondage mask with lots of knives, you would think the man had a very bad childhood, such as the main characters childhood on the movie: The cell, with Jennifer Lopez. But this is incorrect. This murderer had a mother who loved him and a father who he claims was in the normal genre. In machines life, nothing took an incorrect turn.At the end of the movie, he states this: I am what I am... daddy didnt rape me, mommy didnt hit me... I do what I do cos I like it.Killers and heartless people (some of them) are like that just because. Past events do not always take control what we do in life...	
 Watch and rate it yourself	"It's quite funny but I often judge films by the expectation I had before I watched it. So if I now have to judge 8mm prior to my expectations I have to say it's a pretty decent film. Everyone I asked about this film said ""uhh don't watch it it's sick.."" as well as reviews from allmovie.com etc. telling me to avoid watching it. I agree, the film is sort of sick somehow but I have seen worse in films people never complain about. I thought this movie would be more sexual than it is...in fact you ""only"" see an innocent girl get brutally killed and lots of ugly perverts in gimp suits. The scenes themselves are not that sickening only the story around it makes it pretty sick. Films like i.e. Pulp Fiction, which everyone seems to like apart of me are far worse or sickening than 8mm. Bad comparison but relates more to expectations of films. Any film made by Quentin Tarantino is more sickening than this one. Despite the fact that Tarantino is totally overrated anyway. However, not a great film but certainly not as bad as some people say it is. Pretty poor acting of Cage, horrible acting of Phoenix but some cool scenes such as the final scene where Cage chases that pervert at the end. Soundtrack is also rather poor.5.5 out of 10"	
 Starts well, but slithers into murkiness		
 Disturbing, thought provoking and somewhat touching		
 endearing movie, stupid cast	ok, first of all, does anyone else think that nicholas cages acting totally sucked? Playing a sincere family man, he has no emotion in his vioce, i think he should stick to all brawn and no brains action flicks, at least he might get better comments. The film is extremely moving, something that would have made it better, flashbacks into the life of the run-away girl, maybe how she got there and through the eyes of the girl how she was murdered, definatly would have made the film a tiny bit more interesting, not too much blood and gore.	
 Sick.	"This movie is absolutely sick. I could not believe that I actually paid money to buy this euro-trash. When I first read all the other negative comments on this page, I thought ""these people are morons"". But after I actually VIEWED the film, I changed my mind. This movie is very sick.Nicolas Cage plays a private investigator hired to find out if a 'snuff film' is authentic or not. (SPOILERS) Now, when he figures out everything, things get very stupid. In a way, it is somewhat similar to 15 MINUTES. But, since 8MM was made before 15 MINUTES, that isn't logical. But, when Cage finally discovers who is responsible for the killing depicted in the film, it all becomes very sick. And as if it wasn't bad enough with showing us how some people are so addicted to pornography, we get to see men on their knees telling of how they killed someone with no remorse. James Gandolfini may be a good actor, but he chose one sick-*ss part to play here. And after seeing this, I really do feel that Nicolas Cage must have some mental problems of his own. Because he is always playing a person with some sort of problem, EX. BRINGING OUT THE DEAD- he plays an ambulance driver on the brink of madness. Here, he plays a homicide detective on the brink of madness. To like a movie about killing that is this graphic, you must be a killer. 8MM is a movie that opens our eyes to the sick world that we live in. Let us thank it for that much, anyway. 8MM: 1/5."	
 WOW	I think any father with teenage girls should see this movie. It makes you wonder if this sort of thing has happened to the many children that come up missing every year. WOW this movie is powerful and makes you wonder how low can people get. Gage should get a nomination next year for his part in this movie. He was riveting.	8
 Great Film about Underside of Life!	I really enjoyed this movie.  I enjoyed the fact that this was not some kind of gloosied up Hollywoodized version of Andrew Kevin Walker's script, but it was a no-holds-barred reality that won't sit well with the squeamish.  This type of movie does not get made all the time, unfortunately, but it should. Not since Seven, written by Walker as well I might add, has a movie dealt with this much gruesomeness without glossing it over.I think this film deserves much more acclaim than it is getting.  I agree with most people in the fact that this movie is about acting and filmmaking. Joel Schumacher is a filmmaker, not just a director.  He has his own, fairly unique style.  I loved almost every movie Andrew Kevin Walker has done and this is no exception!	
 I've got a better ending!	Well, for the most part it was a good show. It was a little too violent and somewhat gory in places but it definitely kept me on the edge of my seat once it got going. I thought the acting and directing were very well done. The background music was terribly annoying. It didn't match most of the scenes and it was too loud when it should've been quiet. The ending was a little disappointing too. Oh well, maybe they'll do a sequel.	7
 Definitely not a date movie	I was in a really morbid mood after watching this movie.  I pity the fool who takes his girlfriend to see this.  With all the graphic, gritty scenes of bondage and bestiality, it was even a little hard for me to keep looking on.  But damn it, the script by Andrew Kevin Walker and direction by Joel Shumacher were just too good.  So I have to say it was good.  Great performance by Nicolas Cage.  Perhaps his best since Leaving Las Vegas.The message of this movie is clear: we don't know who owns or participates in a snuff film.  And you can bet that who ever does looks just as normal as the next person.	
 A MOVIE THAT SHOULD'VE STUCK TO THE SCRIPT	A great concept for this movie and for anyone who is a fan of screenwriter Andrew Kevin Walker's other movie SE7EN it is a must see.  Unfortunately, I suspect that Director Joel Schumaker had a lot to do with the changes to the script.  It seems as though the Walker script was muted in parts that it didn't need to be and that certain aspects of the movie didn't ring true. Don't let this deter you however, there is a great deal of suspense generated where it should be and there is great acting and music.  Check this one out for sure.	8
 8 is good, but it's not 7.	"I'm guessing that people are going to see this as another main-stream Nicolas Cage action movie, it's not. This is another clever movie written by Andrew Kevin Walker (the same brilliant mind behind ""SE7EN"").  And like ""SE7EN"", it's very dark and morbid, yet you can't turn your head away. I highly enjoyed the first half of the movie, as Det. Welles (Cage) is investigating on who made the snuff 8 mm film, and if it's fake or not.  The investigating was intelligent and brilliantly staged similar to ""SE7EN."" However, by the final act, the film is slightly disappointing, as it becomes routine and cliched. Cage as usual is good as the detective who's trying to find answers, and this is director Joel Schumacher (a really nice guy in person!), better films.  I would put this on his 'good' shelf with ""A TIME TO KILL,"" ""THE CLIENT,"" and ""FALLING DOWN,"" and not on his bad shelf with ""BATMAN FOREVER,"" ""FLATLINERS,"" and ""BATMAN & ROBIN.""  It is a good movie, but it's still not as good as SE7EN.  **** out of *****."	7
 Disturbing but brilliant	"I recently saw 8MM and I didn't want to go out into the world after it. This was ten times more sadistic than Se7en, maybe on account of the violent pornography but maybe it was just because of the message. Se7en was about ""the world is an awful place but worth fighting for."" This had two interesting signals: ""Evil is a trap you cannot attempt to understand or flirt with"" and ""Those who are evil do it without motive, it's innate."" I heard this had to get cut just to get an R rating and it showed when Nicolas Cage was in porn shops and such,  because overall the movie was disturbing. It did delve into the ruining of the mind through this disgusting evil, which gave it some outstanding qualities. However, the kind of evil it explores is not for everyone, as it really runs into the heart of sin and the slums of humanity."	8
 huge disappointment	"i was more hyped to see this movie than any other in quite a while.  i love nicolas cage and i loved ""seven"".  this was a big ass disappointment.  i give it a 5/10.  average at best.  joaquin phoenix is a breath of fresh air though.  this boy could act and steals every scene he's in."	5
 My mind is still reeling...	A disturbing movie that keeps you on the edge of your seat is the only way I can think to describe 8mm.  Showing the evils and dangers of the hard-core pornographic industry may be a little too graphic for some viewers, but a wake-up call for others.  I thought the movie was well written, acted, and directed.  Though it would be hard to call this movie really enjoyable due to its subject, I feel that it was a quality film and I would have no problem recommending it to a mature viewer.	8
 very disappointing	In the hands of a more gutsy director, this had the makings of a very intriguing film. Unfortunately, Schumacher keeps us on the outside looking in, as opposed to really delving in to the specific porn culture that is at the center of the story. Sure, there are sleazy underground porn stores and seedy characters, but none of these things explain why Cage's character seems so affected by the events that transpire. The film also wraps up its main story in about 80 minutes, leaving us with anticlimactic rubbish for the last 40. I really wanted to like this film, but I couldn't get past the over-acting and sloppy storytelling. It's too bad. The trailer was great.	3
 Had Potential	"This movie had potential of being a great and excellent film. Unfortunately, the work of many men and women failed to accomplish this. I was never a real big fan of Nicolas Cage, but after I saw this movie, it made me see how little he can act. The music was totally wrong for this film. Also, the plot lacked. It should have been a lot deeper and meaningful, instead of an ego boost for Cage and Schumacher to see if they can win themselves Oscars. The story was basically predictable, with a few ""plot twists"" that made me think ""wow, another one of his many unneeded plot twists"". Overall, a great potential movie, with a good concept, that just needs Cage and Schumacher to stay away from re-writing scripts. I do have to say though, that I thought Joaquin Phoenix's (Max California) performance was excellent. He was the best part of the movie, and I lost interest soon after his role was done. Overall, cheesy acting throughout the cast, and poor directing on Schumacher's part.Adam Hornback Film Maker"	
 Good, if overlong		7
 Interesting, but lacking		
 Kinda Sorta	This movie was *eeehhhhhh* ok.  When Nic Cage was talking to Mrs. Christian he sounded like a ReRe in a suit, and he sounded like a robot wanting to remember his lines, but after he got through with her he got better into character.  and from then on the movie was good.  It wasn't as graphic as I thought it would be but I am glad, they were quite disturbing as they were. so when he finds the men who did 'it'  my chin was on the floor, I could have never guessed them myself, so that was good, the dark tone to the movie was also good, eg the slums of l.a....  I give this movie 7/10	
 Same-old same-old	It's all been done before, and much better, even by this screenwriter (Seven). There were so many moments when this film could have been good or, at least, more interesting. The one scene that gave some idea of the real Tom Welles hiding behind his family-man facade was when the petty thief asked him for a cigarette. That one scene is not worth the admission price, but if you have nothing better to do of an evening, this movie won't disappoint as a standard thriller.	
 To know and not to know.		
 Plumbing the Depths of Human Perversion		
 Can I get some Pace here?	Here I was ready to be blown out of the water by a thriller that could match up if not surpass SEVEN.  Well needless to say I was not even touched by a ripple of water.  The lack of chemistry between Nicolas Cage and Catherine Keener was enough to make the screening room chuckle during supposed intense scenes in this picture.  8mm just felt as if it never got going, every turn was as predictable as a dull Batman movie. I was able to enjoy a great performance from Joaquin Phoenix, maybe they should have cast him as the wife, hey it would have been more believable than Ms. Keener. In memory of Gene Siskel.  THUMBS DOWN!	
 A solid thriller with several ups and downs	"After the intriguing preview trailer captured me way back in January, I finally got to see Joel Schumacher's new thriller: ""8mm"".Nicolas Cage, a private investigator, is hired to discover the truth behind a ""snurff"" film -a piece of upsetting sexual perversion.The movie has its best moments when Cage and surprising Joaquin Phoenix, who stars as clerk of a LA porn shop, dive into the devil underground porn scene.Most of the thrills evolve out of the shocking perversity and aren't nearly as clever and unexpected as in Se7en. Some cuts and transitions are quite creative and the darkness of Se7en remains. But don't try to compare 8mm to the brilliance of Se7en or you'll be as disappointed as I was."	
 At least he wasn't butchering Batman again!		
 Middle Americans are to blame	The first two thirds of this film are pretty good, in spite of Nicholas Cage. Unfortunately the potential is lost with an ending tacked-on to appease Middle America. We could've seen the lead character getting dragged deeper into the world of snuff, and questioning his own desires. Instead we got the same old boring conventional action hero morality, the eye (or more) for an eye mentality, and the assertion that Cage is actually doing the world a favour by killing the bad guys.Did anyone ever stop to think that Machine's elderly mother might be just as upset at her sons death, as the mother of girl he is 'avenging'?And yet, if you stop watching before the final third, which is deeply unoriginal, there is fairly experimental and challenging stuff here. Not quite a study into psychosexual desire, but then this is a mainsteam film.	
 Schumacher headed in right direction	"When conversations turn to the topic of consistently bad directors, B-movie hacks like Larry Buchanan or Al Adamson easily come to mind. However, I have found Joel Schumacher's work steadfastly mediocre. He made his feature directorial debut with ""The Incredible Shrinking Woman"", an inane sham starring Lily Tomlin. A piece of junk called ""D.C. Cab"" followed. ""St. Elmo's Fire"", ""The Lost Boys"", ""Flatliners"", ""Falling Down"", and ""A Time to Kill"" are inferior mainstream Hollywood fare. Hell, he wounded the Batman franchise. Therefore, my expectations were meager for ""8MM"", which looked like a rehash of ""Hardcore"". So, I was surprised to encounter a modestly exciting story. Less an excursion into the world of pornography (or more exactly of bizarre fetish gratification), it is more of a noirish thriller. Cage's crisp, precise articulation recalls Bogart in ""The Big Sleep"". Joaquin Phoenix is no Bacall, but delivers an adequately subdued performance as Cage's escort. A capricious, foretelling ending and a liberal anti-smoking message are a couple of faults I had with the picture. With the praise afforded ""Tigerland"" and my reaction to this film, perhaps Schumacher may start producing some challenging work. 2.5 out of 4 stars."	
 Coming A Mile Away	I don't think I'm alone in saying that Nicholas Cage doesn't cut it as an action star. He has a gift for offbeat comedy, as evident in such films as RAISING ARIZONA and WILD AT HEART. Yes, BRINGING OUT THE DEAD did have its moments, but once again, that's because it was offbeat. He was lame in the virtually unwatchable SNAKE EYES, and he is just a shade better in 8mm.It seemed that the story in 8mm was going somewhere interesting at first. There was much dialogue about Cage's character being influenced by the evil around him. Then, just when Cage was about to step into the darkness the film makers pulled back and gave us just another Hollywood Action/Revenge flick. Yep, the same old thing. And if you watch as many films as I do, the same old thing just doesn't do it for you anymore.Kind of ironic, huh?	
 Cage cruises crazytown	"Very good drama with some excellent acting and photography showing life on the wild side. The film started off pretty slow but by the ending I was on the edge of my seat wondering if Cage would ever resolve his problem. Nerve wracking scenes that made me cringe thinking ""what if that was me dealing with those psychos?"", made for a very entertaining 2 hours. A definite must see."	7
 Has been better	"A better movie on this same subject was made with George C. Scott and was called ""Hardcore"".   If you liked 8mm (or even if you didn't), check that movie out.This is an OK thriller, but the director should stop pretending he's above the pornography he's depicting and admit that he made this movie simply to show shocking images of depravity.  This movie wallows in the more graphic segments and it becomes obvious that was the director's main interest in making this movie."	
 Already notorious Joel botch job	CONTAINS SPOILERSSometimes films that are off-kilter in their approach often throw up ideas and questions anyway, despite of themselves. This film is strange because I think the screenwriter possibly took his story from bits and pieces of other films rather than looking at real life, which I think is a comman problem in the industry as a whole. It's only long after seeing the film that I found it was by the seven guy which explains the similar production design which pushed the film further into splendidly risible self-parody. The whole bit with the girl being executed on film was a straight lift from 'Hardcore'. The scene at Machine's house at the end seemed taken from 'The Dead Zone'. The line 'because he could' has been used as many times as 'you're playing God' in the American cinema. The villains seem straight out of 'Scooby Doo'. The PI character with his squareness seems to come from much older films and is particularly jarring. The various 'can't get the gun/knife' etc seems an omnibus of film history itself. In keeping to genre conventions a film about exploitation inevitably becomes exploitative itself and this prevents American film from ever becoming art. Film makers always have one dubious eye on 'entertaining' the audience with lots of 'happenings' rather than focusing on 'ideas' or deep questions about the human condition which the average Hollywood producer is afraid of, perhaps holding to the perceived idea that the American public is allegedly anti-intellectual. Certainly a lot of reviews on this page allude to 'entertainment' as being a factor as to why they saw the film in the first place and were disappointed by it's slowness or were entertained in spite of it's slowness. The film's questioning of snuff as a myth suddenly becomes ironic as we are left to ponder whether the film itself can be trusted as it is a patchwork of so many film myths itself. The moral questions posed by the film quickly become irrelevant because the film's characters are doomed to follow genre conventions in solving problems in a way unrealistic to real life. Therefore the film unexpectedly becomes interesting because it becomes a critique of itself and cinema in general. For instance, is there any real 'reality' anymore if films are just about other films now? Can morality in the real world have any bearing in films like 8mm that are cut and pastes from other films which may, in themselves, have all manner of bogus moral perspectives, studio compromises and audience demographics in mind that make even less sense when amalgamated into one, which seems the case in this film? Certainly, taking a figure from the days of the Hayes code and planting him in modern LA makes for a curious cinematic experience.Having said that I don't think the film makers wanted to make an exploitative film. I think the moving and well judged scene in the kitchen where Cage asks the lonely mother whether she would want to know about her daughter's fate is authentically that of the real world and suggests the film maker's were sincere. However, once the film returns to 'the film world' we cease to believe in it. We are led to believe that an employee of a wealthy man would be both able and willing to walk into the porn underworld, a world presumably light years away from his own experience, ask for a snuff movie (which brought a fierce backlash when the tougher PI asked for it) and then somehow 'find' the right people to make a real snuff movie when the more likely reponse would be porn merchants calling the police long before he asked the 'right' people. We are then led to believe he and they would be party to something that would bring them the death sentence for something which did not involve a huge amount of money. It is also hugely unlikely that the PI would ring the girl's mother in order to get permission to commit homicide. It is just beyond credibility. Also the very public death of Machine would almost certainly cause the PI to be linked to his other act of murder, especially as the dead bodies of the two other protagonists in the warehouse would be found. But as we are in 'filmland', consequences are not part of the plot therefore once again rendering any interesting moral questions superfluous. The final letter becomes a disclaimer tacked on by the film maker's which is ultimately meaningless, despite a potentially interesting question about breaking the law to prevent an even greater evil.Although the film does not work it is fascinating for an entirely different set of reasons thrown up ironically BECAUSE it is sincere. It makes you question the nature of reality and the nature and process of modern film making today. There is no audience for this film. Funnily, it seems the producers made it for no deeper a motive than the wealthy man who wanted to see a snuff movie. He had the money and because of that he did it because he could.	
 Good... but wait for it to come out on video.		
 money buys anything	There are already over 300 comments as I post this: clearly the subjects of violent sex and snuff generate a great deal of arousal and fear (arousal). Considering this, and the fact that illegal, volatile, morally reprehensible material can be procured easily by anyone (try surfing over to even a mildly obscure newsgroup), who would doubt that snuff actually exists?	
 Peek Performance		
 This movie stunk		
 get a plot people saw a thousand times and just add sex or violence or both.		
 Dont get your hopes up.		
 Wretched	"If you see lots of movies, you will probably not find this to be shocking or ""sick"". You will find it to be boring. Its slick, but hollow. The victim is dead at film's start, so the viewer has no emotional investment in the case--other than your basic good vs. evil thing. So we are left with a sleuth movie devoid of plot twists (or much plot) or cleverness. The movie is too lazy to give us a couple of other suspects who turn out to be sleazy, sure enough, but innocent. Of course, the bad guys are very bad (and wear black and leather a lot) and the good guy is very good. (How about a little nuancing like in ""Tightrope"" where Clint Eastwood gets a little revved  at the seedy things going on around him) Style and dark titilation are left to satisfy the viewer, but they are not close to enough. Stunningly bad."	
 In a class of its own	8MM is NOT for the faint hearted.  In a sugary coated world this movie dives deep in to the sick lives of pornography and of those who profit and those who die.Despite the dark plot and theme of the movie, it is well acted and well written.  Not only causing you to flinch but feel sick at the prospect of being apart of such an industry, if one can call it that.8MM gets into your head and I found it hard to shake the images out.Nicholas Cage was excellent.  As his knowledge of the impact of the situation grew he was able to put into his character, making you believe the trauma of what he is going through.This movie is not something you put on for a relaxing night at home.  You have to be prepared for the effects of this movie and how it makes you look at another aspect of human nature and how we are out to profit even if it means death.	
 Makes you feel uneasy	I guess feeling uneasy while watching this film is quite understandable when you know that the writer to the 8MM script, Kevin Andrew Walker, is the man who wrote the script to the very disturbing Se7en. In 8MM there is an uneasiness that you forget about as soon as you've turned off the video, the experience of watching Se7en stayed with me for weeks. 8MM is a good film, I liked it even though there are some parts of the film that are too unbelievable and too clichéd to be really appreciated, and the last half hour does not live up to the expectations I had. Nicolas Cage is good, as is Joaquin Phoenix. Peter Stormare's portrayal of loathsome Velvet was a bit over the top, even though director Joel Schumacher might be blamed for that.[Possible spoiler follows.] Overall, a good film that sadly loses its power in the last half hour.	6
 Different....		
 Don't expect too much out of this one!	"Despite the fact that this film was written by the same person who wrote Seven, despite the fact that Nicholas Cage starred here, this film is simply mediocre.At first, it is very interesting. But it loses steam in the second half; it becomes quite predictable. This movie follows the footsteps of ""Seven"" by trying to shock you as much as possible. Nicholas Cage, in his investigation, goes down to the most depraved areas of the sex industry. It seems this movie was written just to scare people. To make them sick. The rest was completely forgotten."	
 You must be willing to tackle the issues to appreciate this film		
 Lost Boy		
